strain	taxonomyId	accession	currentAccession	isRef	level	assemblyStatus	chromosomeCount	length	scaffoldCount	scaffoldN50	scaffoldL50	coverage	gcPercent	annotationStatus	pairedAccession	species	speciesTaxonomyId	lineageTaxonomyIds	taxonomicGroup	taxonomicLevelDomain	taxonomicLevelRealm	taxonomicLevelKingdom	taxonomicLevelPhylum	taxonomicLevelClass	taxonomicLevelOrder	taxonomicLevelFamily	taxonomicLevelGenus	taxonomicLevelSpecies	taxonomicLevelStrain	taxonomicLevelSerotype	taxonomicLevelIsolate	taxonomicLevelDomainId	taxonomicLevelRealmId	taxonomicLevelKingdomId	taxonomicLevelPhylumId	taxonomicLevelClassId	taxonomicLevelOrderId	taxonomicLevelFamilyId	taxonomicLevelGenusId	taxonomicLevelSpeciesId	taxonomicLevelStrainId	taxonomicLevelSerotypeId	taxonomicLevelIsolateId	commonName	otherTaxa	ucscBrowser	geneModelUrl
	5025	GCA_002148305.1	GCA_002148305.1	False	Scaffold	current		60939407	1413	136376	135	90	44.5			Venturia inaequalis	5025	1,131567,2759,33154,4751,451864,4890,716545,147538,716546,715962,147541,451868,1111111,5023,5024,5025	Ascomycota	Eukaryota		Fungi	Ascomycota	Dothideomycetes	Venturiales	Venturiaceae	Venturia	Venturia inaequalis				2759		4751	4890	147541	1111111	5023	5024	5025						https://genome.ucsc.edu/h/GCA_002148305.1	https://hgdownload.soe.ucsc.edu/hubs/GCA/002/148/305/GCA_002148305.1/genes/GCA_002148305.1_Vi1.14.1.0.augustus.gtf.gz
ISS45	6335	GCA_002148645.1	GCA_002148645.1	False	Scaffold	current		51405409	24274	11768	1060	160	33.5			Trichinella nativa	6335	1,131567,2759,33154,33208,6072,33213,33317,1206794,6231,119088,1457286,6329,6332,6333,6335	Nematoda	Eukaryota		Metazoa	Nematoda	Enoplea	Trichinellida	Trichinellidae	Trichinella	Trichinella nativa				2759		33208	6231	119088	6329	6332	6333	6335						https://genome.ucsc.edu/h/GCA_002148645.1	https://hgdownload.soe.ucsc.edu/hubs/GCA/002/148/645/GCA_002148645.1/genes/GCA_002148645.1_ASM214864v1.ncbiGene.gtf.gz
SDL-CO-2015-1	1226780	GCA_002150815.3	GCA_002150815.3	True	Scaffold	current		42321318	403	356975	36	195	56.5			Grammothele lineata	1226780	1,131567,2759,33154,4751,451864,5204,5302,155619,355688,5303,5317,139412,1226780	Basidiomycota	Eukaryota		Fungi	Basidiomycota	Agaricomycetes	Polyporales	Polyporaceae	Grammothele	Grammothele lineata				2759		4751	5204	155619	5303	5317	139412	1226780						https://genome.ucsc.edu/h/GCA_002150815.3	https://hgdownload.soe.ucsc.edu/hubs/GCA/002/150/815/GCA_002150815.3/genes/GCA_002150815.3_ASM215081v3.augustus.gtf.gz
CCAP 1560/4	180228	GCA_002151225.1	GCA_002151225.1	True	Scaffold	current		34386983	9329	7171	1143	30	41.0			Paramoeba pemaquidensis	180228	1,131567,2759,554915,555280,1485085,555392,200887,200890,180228	Amoebozoa	Eukaryota			Discosea	Flabellinia	Dactylopodida	Paramoebidae	Paramoeba	Paramoeba pemaquidensis				2759			555280	1485085	555392	200887	200890	180228						https://genome.ucsc.edu/h/GCA_002151225.1	https://hgdownload.soe.ucsc.edu/hubs/GCA/002/151/225/GCA_002151225.1/genes/GCA_002151225.1_ASM215122v1.augustus.gtf.gz
Mlp06GRE05	242475	GCA_002157005.1	GCA_002157005.1	True	Scaffold	current		44530309	24475	2626	4535	223	40.5			Melampsora allii-populina	242475	1,131567,2759,33154,4751,451864,5204,29000,162484,5258,5259,5260,242475	Basidiomycota	Eukaryota		Fungi	Basidiomycota	Pucciniomycetes	Pucciniales	Melampsoraceae	Melampsora	Melampsora allii-populina				2759		4751	5204	162484	5258	5259	5260	242475						https://genome.ucsc.edu/h/GCA_002157005.1	https://hgdownload.soe.ucsc.edu/hubs/GCA/002/157/005/GCA_002157005.1/genes/GCA_002157005.1_ASM215700v1.augustus.gtf.gz
Ma07VIC01	526923	GCA_002157015.1	GCA_002157015.1	True	Scaffold	current		62222430	29225	2803	6312	268	40.0			Melampsora aecidioides	526923	1,131567,2759,33154,4751,451864,5204,29000,162484,5258,5259,5260,526923	Basidiomycota	Eukaryota		Fungi	Basidiomycota	Pucciniomycetes	Pucciniales	Melampsoraceae	Melampsora	Melampsora aecidioides				2759		4751	5204	162484	5258	5259	5260	526923						https://genome.ucsc.edu/h/GCA_002157015.1	https://hgdownload.soe.ucsc.edu/hubs/GCA/002/157/015/GCA_002157015.1/genes/GCA_002157015.1_ASM215701v1.augustus.gtf.gz
MEA09CAP01	526922	GCA_002157025.1	GCA_002157025.1	True	Scaffold	current		74050440	14223	9777	2134	274	41.0			Melampsora abietis-canadensis	526922	1,131567,2759,33154,4751,451864,5204,29000,162484,5258,5259,5260,526922	Basidiomycota	Eukaryota		Fungi	Basidiomycota	Pucciniomycetes	Pucciniales	Melampsoraceae	Melampsora	Melampsora abietis-canadensis				2759		4751	5204	162484	5258	5259	5260	526922						https://genome.ucsc.edu/h/GCA_002157025.1	https://hgdownload.soe.ucsc.edu/hubs/GCA/002/157/025/GCA_002157025.1/genes/GCA_002157025.1_ASM215702v1.augustus.gtf.gz
Mo05Ca05	82102	GCA_002157085.1	GCA_002157085.1	True	Scaffold	current		97689000	21759	7267	3978	154	42.0			Melampsora occidentalis	82102	1,131567,2759,33154,4751,451864,5204,29000,162484,5258,5259,5260,82102	Basidiomycota	Eukaryota		Fungi	Basidiomycota	Pucciniomycetes	Pucciniales	Melampsoraceae	Melampsora	Melampsora occidentalis				2759		4751	5204	162484	5258	5259	5260	82102				cottonwood leaf rust		https://genome.ucsc.edu/h/GCA_002157085.1	https://hgdownload.soe.ucsc.edu/hubs/GCA/002/157/085/GCA_002157085.1/genes/GCA_002157085.1_ASM215708v1.augustus.gtf.gz
E2	73868	GCA_002157105.1	GCA_002157105.1	False	Scaffold	current		71019055	1656	144455	143		22.0			Piromyces sp. E2	73868	1,131567,2759,33154,4751,112252,4761,2683659,451455,29006,29007,4821,857194,73868	Chytridiomycota	Eukaryota		Fungi	Chytridiomycota	Neocallimastigomycetes	Neocallimastigales	Neocallimastigaceae	Piromyces	Piromyces sp. E2				2759		4751	4761	451455	29006	29007	4821	73868						https://genome.ucsc.edu/h/GCA_002157105.1	https://hgdownload.soe.ucsc.edu/hubs/GCA/002/157/105/GCA_002157105.1/genes/GCA_002157105.1_PirspE2_v1.0.ncbiGene.gtf.gz
HDO1	563466	GCA_002158515.1	GCA_002158515.1	False	Scaffold	current		44221183	211	2801028	6	541	50.0			Scedosporium apiospermum	563466	1,131567,2759,33154,4751,451864,4890,716545,147538,716546,715989,147550,222543,5592,5593,41687,563466	Ascomycota	Eukaryota		Fungi	Ascomycota	Sordariomycetes	Microascales	Microascaceae	Scedosporium	Scedosporium apiospermum				2759		4751	4890	147550	5592	5593	41687	563466						https://genome.ucsc.edu/h/GCA_002158515.1	https://hgdownload.soe.ucsc.edu/hubs/GCA/002/158/515/GCA_002158515.1/genes/GCA_002158515.1_SaHDO1_v1.augustus.gtf.gz
CMW 25243	1604332	GCA_002165215.1	GCA_002165215.1	True	Scaffold	current		47778485	153	1474389	8	1220	46.0			Fusarium pininemorale	1604332	1,131567,2759,33154,4751,451864,4890,716545,147538,716546,715989,147550,222543,5125,110618,5506,171627,1604332	Ascomycota	Eukaryota		Fungi	Ascomycota	Sordariomycetes	Hypocreales	Nectriaceae	Fusarium	Fusarium pininemorale				2759		4751	4890	147550	5125	110618	5506	1604332						https://genome.ucsc.edu/h/GCA_002165215.1	https://hgdownload.soe.ucsc.edu/hubs/GCA/002/165/215/GCA_002165215.1/genes/GCA_002165215.1_FUSPIN1.0.augustus.gtf.gz
HFEW-16-IV-019	1147111	GCA_002168265.2	GCA_002168265.2	False	Scaffold	current		48274071	287	1349055	9	62.3	51.5			Fusarium euwallaceae	1147111	1,131567,2759,33154,4751,451864,4890,716545,147538,716546,715989,147550,222543,5125,110618,5506,232080,1147111	Ascomycota	Eukaryota		Fungi	Ascomycota	Sordariomycetes	Hypocreales	Nectriaceae	Fusarium	Fusarium euwallaceae				2759		4751	4890	147550	5125	110618	5506	1147111						https://genome.ucsc.edu/h/GCA_002168265.2	https://hgdownload.soe.ucsc.edu/hubs/GCA/002/168/265/GCA_002168265.2/genes/GCA_002168265.2_ASM216826v2.augustus.gtf.gz
AR3913	40262	GCA_002179595.1	GCA_002179595.1	False	Scaffold	current		41022676	2318	78174	153	72.3	53.0			Cryphonectria radicalis	40262	1,131567,2759,33154,4751,451864,4890,716545,147538,716546,715989,147550,222544,5114,399129,218105,5115,40262	Ascomycota	Eukaryota		Fungi	Ascomycota	Sordariomycetes	Diaporthales	Cryphonectriaceae	Cryphonectria	Cryphonectria radicalis				2759		4751	4890	147550	5114	399129	5115	40262						https://genome.ucsc.edu/h/GCA_002179595.1	https://hgdownload.soe.ucsc.edu/hubs/GCA/002/179/595/GCA_002179595.1/genes/GCA_002179595.1_ASM217959v1.augustus.gtf.gz
F-02845	42665	GCA_002194535.1	GCA_002194535.1	False	Scaffold	current		56380608	712	5402168	5	25.09	43.0			Fusarium udum	42665	1,131567,2759,33154,4751,451864,4890,716545,147538,716546,715989,147550,222543,5125,110618,5506,171627,42665	Ascomycota	Eukaryota		Fungi	Ascomycota	Sordariomycetes	Hypocreales	Nectriaceae	Fusarium	Fusarium udum				2759		4751	4890	147550	5125	110618	5506	42665						https://genome.ucsc.edu/h/GCA_002194535.1	https://hgdownload.soe.ucsc.edu/hubs/GCA/002/194/535/GCA_002194535.1/genes/GCA_002194535.1_ASM219453v1.augustus.gtf.gz
FUS01	5127	GCA_002196585.2	GCA_002196585.2	False	Scaffold	current		49057912	881	838233	16	100	47.5			Fusarium fujikuroi	5127	1,131567,2759,33154,4751,451864,4890,716545,147538,716546,715989,147550,222543,5125,110618,5506,171627,5127	Ascomycota	Eukaryota		Fungi	Ascomycota	Sordariomycetes	Hypocreales	Nectriaceae	Fusarium	Fusarium fujikuroi				2759		4751	4890	147550	5125	110618	5506	5127						https://genome.ucsc.edu/h/GCA_002196585.2	https://hgdownload.soe.ucsc.edu/hubs/GCA/002/196/585/GCA_002196585.2/genes/GCA_002196585.2_FUS01-V2.augustus.gtf.gz
NBRC 105426	64517	GCA_002214945.1	GCA_002214945.1	False	Scaffold	current		46846657	1914	48171	257	46	49.0			Rhizophlyctis rosea	64517	1,131567,2759,33154,4751,112252,4761,2683659,451435,642610,1396497,64515,64517	Chytridiomycota	Eukaryota		Fungi	Chytridiomycota	Chytridiomycetes	Rhizophlyctidales	Rhizophlyctidaceae	Rhizophlyctis	Rhizophlyctis rosea				2759		4751	4761	451435	642610	1396497	64515	64517						https://genome.ucsc.edu/h/GCA_002214945.1	https://hgdownload.soe.ucsc.edu/hubs/GCA/002/214/945/GCA_002214945.1/genes/GCA_002214945.1_ASM221494v1.augustus.gtf.gz
Bt1	1295830	GCA_002215705.1	GCA_002215705.1	False	Scaffold	current		18502290	52	770391	8	91	48.0			Cryptococcus neoformans	5207	1,131567,2759,33154,4751,451864,5204,5302,155616,5234,1884633,5206,1897064,5207,1295830	Basidiomycota	Eukaryota		Fungi	Basidiomycota	Tremellomycetes	Tremellales	Cryptococcaceae	Cryptococcus	Cryptococcus neoformans	Cryptococcus neoformans Bt1			2759		4751	5204	155616	5234	1884633	5206	5207	1295830					https://genome.ucsc.edu/h/GCA_002215705.1	https://hgdownload.soe.ucsc.edu/hubs/GCA/002/215/705/GCA_002215705.1/genes/GCA_002215705.1_Cryp_neof_Bt1_V1.ncbiGene.gtf.gz
V31	5207	GCA_002215745.1	GCA_002215745.1	False	Scaffold	current		18436157	841	108481	52	179	48.0			Cryptococcus neoformans	5207	1,131567,2759,33154,4751,451864,5204,5302,155616,5234,1884633,5206,1897064,5207	Basidiomycota	Eukaryota		Fungi	Basidiomycota	Tremellomycetes	Tremellales	Cryptococcaceae	Cryptococcus	Cryptococcus neoformans				2759		4751	5204	155616	5234	1884633	5206	5207				Cryptococcus neoformans serotype A		https://genome.ucsc.edu/h/GCA_002215745.1	https://hgdownload.soe.ucsc.edu/hubs/GCA/002/215/745/GCA_002215745.1/genes/GCA_002215745.1_Cneo_seroA_V31.ncbiGene.gtf.gz
V2	5207	GCA_002215755.1	GCA_002215755.1	False	Scaffold	current		18368897	669	112025	53	129	48.0			Cryptococcus neoformans	5207	1,131567,2759,33154,4751,451864,5204,5302,155616,5234,1884633,5206,1897064,5207	Basidiomycota	Eukaryota		Fungi	Basidiomycota	Tremellomycetes	Tremellales	Cryptococcaceae	Cryptococcus	Cryptococcus neoformans				2759		4751	5204	155616	5234	1884633	5206	5207				Cryptococcus neoformans serotype A		https://genome.ucsc.edu/h/GCA_002215755.1	https://hgdownload.soe.ucsc.edu/hubs/GCA/002/215/755/GCA_002215755.1/genes/GCA_002215755.1_Cneo_seroA_V2.ncbiGene.gtf.gz
AD1-83a	1230065	GCA_002215765.1	GCA_002215765.1	False	Scaffold	current		18636876	498	148764	34	261	48.0			Cryptococcus neoformans	5207	1,131567,2759,33154,4751,451864,5204,5302,155616,5234,1884633,5206,1897064,5207,1230065	Basidiomycota	Eukaryota		Fungi	Basidiomycota	Tremellomycetes	Tremellales	Cryptococcaceae	Cryptococcus	Cryptococcus neoformans	Cryptococcus neoformans AD1-83a			2759		4751	5204	155616	5234	1884633	5206	5207	1230065					https://genome.ucsc.edu/h/GCA_002215765.1	https://hgdownload.soe.ucsc.edu/hubs/GCA/002/215/765/GCA_002215765.1/genes/GCA_002215765.1_Cryp_neof_AD1_83a_V1.ncbiGene.gtf.gz
AD2-60a	1230059	GCA_002215775.1	GCA_002215775.1	False	Scaffold	current		18629733	168	730974	10	86	48.0			Cryptococcus neoformans	5207	1,131567,2759,33154,4751,451864,5204,5302,155616,5234,1884633,5206,1897064,5207,1230059	Basidiomycota	Eukaryota		Fungi	Basidiomycota	Tremellomycetes	Tremellales	Cryptococcaceae	Cryptococcus	Cryptococcus neoformans	Cryptococcus neoformans AD2-60a			2759		4751	5204	155616	5234	1884633	5206	5207	1230059					https://genome.ucsc.edu/h/GCA_002215775.1	https://hgdownload.soe.ucsc.edu/hubs/GCA/002/215/775/GCA_002215775.1/genes/GCA_002215775.1_Cryp_neof_AD2_60a_V1.ncbiGene.gtf.gz
C23	1295831	GCA_002215825.1	GCA_002215825.1	False	Scaffold	current		18885614	107	747818	11	74	48.0			Cryptococcus neoformans	5207	1,131567,2759,33154,4751,451864,5204,5302,155616,5234,1884633,5206,1897064,5207,1295831	Basidiomycota	Eukaryota		Fungi	Basidiomycota	Tremellomycetes	Tremellales	Cryptococcaceae	Cryptococcus	Cryptococcus neoformans	Cryptococcus neoformans C23			2759		4751	5204	155616	5234	1884633	5206	5207	1295831					https://genome.ucsc.edu/h/GCA_002215825.1	https://hgdownload.soe.ucsc.edu/hubs/GCA/002/215/825/GCA_002215825.1/genes/GCA_002215825.1_Cryp_neof_C23_V1.ncbiGene.gtf.gz
Bt85	1295842	GCA_002215835.1	GCA_002215835.1	False	Scaffold	current		19238576	39	948332	8	128	48.0			Cryptococcus neoformans	5207	1,131567,2759,33154,4751,451864,5204,5302,155616,5234,1884633,5206,1897064,5207,1295842	Basidiomycota	Eukaryota		Fungi	Basidiomycota	Tremellomycetes	Tremellales	Cryptococcaceae	Cryptococcus	Cryptococcus neoformans	Cryptococcus neoformans Bt85			2759		4751	5204	155616	5234	1884633	5206	5207	1295842					https://genome.ucsc.edu/h/GCA_002215835.1	https://hgdownload.soe.ucsc.edu/hubs/GCA/002/215/835/GCA_002215835.1/genes/GCA_002215835.1_Cryp_neof_Bt85_V1.ncbiGene.gtf.gz
c45	1230068	GCA_002215855.1	GCA_002215855.1	False	Scaffold	current		18184845	530	93455	61	75	48.0			Cryptococcus neoformans	5207	1,131567,2759,33154,4751,451864,5204,5302,155616,5234,1884633,5206,1897064,5207,1230068	Basidiomycota	Eukaryota		Fungi	Basidiomycota	Tremellomycetes	Tremellales	Cryptococcaceae	Cryptococcus	Cryptococcus neoformans	Cryptococcus neoformans c45			2759		4751	5204	155616	5234	1884633	5206	5207	1230068					https://genome.ucsc.edu/h/GCA_002215855.1	https://hgdownload.soe.ucsc.edu/hubs/GCA/002/215/855/GCA_002215855.1/genes/GCA_002215855.1_Cryp_neof_C45_V1.ncbiGene.gtf.gz
125.91	1295829	GCA_002215885.1	GCA_002215885.1	False	Scaffold	current		18910907	37	836747	8	66	48.0			Cryptococcus neoformans	5207	1,131567,2759,33154,4751,451864,5204,5302,155616,5234,1884633,5206,1897064,5207,1295829	Basidiomycota	Eukaryota		Fungi	Basidiomycota	Tremellomycetes	Tremellales	Cryptococcaceae	Cryptococcus	Cryptococcus neoformans	Cryptococcus neoformans 125.91			2759		4751	5204	155616	5234	1884633	5206	5207	1295829					https://genome.ucsc.edu/h/GCA_002215885.1	https://hgdownload.soe.ucsc.edu/hubs/GCA/002/215/885/GCA_002215885.1/genes/GCA_002215885.1_Cryp_neof_125_91_V1.ncbiGene.gtf.gz
JS-169	169388	GCA_002215905.1	GCA_002215905.1	False	Scaffold	current		45813297	17	4934405	4	460.03	50.0			Fusarium solani	169388	1,131567,2759,33154,4751,451864,4890,716545,147538,716546,715989,147550,222543,5125,110618,5506,232080,169388	Ascomycota	Eukaryota		Fungi	Ascomycota	Sordariomycetes	Hypocreales	Nectriaceae	Fusarium	Fusarium solani				2759		4751	4890	147550	5125	110618	5506	169388						https://genome.ucsc.edu/h/GCA_002215905.1	https://hgdownload.soe.ucsc.edu/hubs/GCA/002/215/905/GCA_002215905.1/genes/GCA_002215905.1_ASM221590v1.augustus.gtf.gz
XL280	1396488	GCA_002216205.1	GCA_002216205.1	False	Chromosome	current	14.0	19049915	37	1076535	7	160	48.5			Cryptococcus deneoformans	40410	1,131567,2759,33154,4751,451864,5204,5302,155616,5234,1884633,5206,1897064,40410,1396488	Basidiomycota	Eukaryota		Fungi	Basidiomycota	Tremellomycetes	Tremellales	Cryptococcaceae	Cryptococcus	Cryptococcus deneoformans	Cryptococcus deneoformans XL280			2759		4751	5204	155616	5234	1884633	5206	40410	1396488					https://genome.ucsc.edu/h/GCA_002216205.1	https://hgdownload.soe.ucsc.edu/hubs/GCA/002/216/205/GCA_002216205.1/genes/GCA_002216205.1_ASM221620v1.augustus.gtf.gz
KN99	5207	GCA_002216725.1	GCA_002216725.1	False	Chromosome	current	14.0	18889724	14	1422463	6	1140	48.0			Cryptococcus neoformans	5207	1,131567,2759,33154,4751,451864,5204,5302,155616,5234,1884633,5206,1897064,5207	Basidiomycota	Eukaryota		Fungi	Basidiomycota	Tremellomycetes	Tremellales	Cryptococcaceae	Cryptococcus	Cryptococcus neoformans				2759		4751	5204	155616	5234	1884633	5206	5207				Cryptococcus neoformans serotype A		https://genome.ucsc.edu/h/GCA_002216725.1	https://hgdownload.soe.ucsc.edu/hubs/GCA/002/216/725/GCA_002216725.1/genes/GCA_002216725.1_ASM221672v1.ncbiGene.gtf.gz
CCTP51	5207	GCA_002217545.1	GCA_002217545.1	False	Scaffold	current		18083839	565	87474	66	151	48.0			Cryptococcus neoformans	5207	1,131567,2759,33154,4751,451864,5204,5302,155616,5234,1884633,5206,1897064,5207	Basidiomycota	Eukaryota		Fungi	Basidiomycota	Tremellomycetes	Tremellales	Cryptococcaceae	Cryptococcus	Cryptococcus neoformans				2759		4751	5204	155616	5234	1884633	5206	5207				Cryptococcus neoformans serotype A		https://genome.ucsc.edu/h/GCA_002217545.1	https://hgdownload.soe.ucsc.edu/hubs/GCA/002/217/545/GCA_002217545.1/genes/GCA_002217545.1_Cryp_neof_grubii_cng10_V1.ncbiGene.gtf.gz
Dm28c	85057	GCA_002219105.2	GCA_002219105.2	False	Contig	current		50928259	1028	110589	95	150	51.5			Trypanosoma cruzi	5693	1,131567,2759,2611352,33682,5653,2704647,2704949,5654,5690,47570,5693,85057	Kinetoplastea	Eukaryota			Euglenozoa	Kinetoplastea	Trypanosomatida	Trypanosomatidae	Trypanosoma	Trypanosoma cruzi				2759			33682	5653	2704949	5654	5690	5693						https://genome.ucsc.edu/h/GCA_002219105.2	https://hgdownload.soe.ucsc.edu/hubs/GCA/002/219/105/GCA_002219105.2/genes/GCA_002219105.2_TcruziDm28cPB1.ncbiGene.gtf.gz
DSY562	5478	GCA_002219185.1	GCA_002219185.1	False	Chromosome	current	13.0	12709102	18	1178610	5	261	39.0			Nakaseomyces glabratus	5478	1,131567,2759,33154,4751,451864,4890,716545,147537,4891,4892,4893,374468,5478	Ascomycota	Eukaryota		Fungi	Ascomycota	Saccharomycetes	Saccharomycetales	Saccharomycetaceae	Nakaseomyces	Nakaseomyces glabratus				2759		4751	4890	4891	4892	4893	374468	5478						https://genome.ucsc.edu/h/GCA_002219185.1	https://hgdownload.soe.ucsc.edu/hubs/GCA/002/219/185/GCA_002219185.1/genes/GCA_002219185.1_ASM221918v1.ncbiGene.gtf.gz
WM-1408	5207	GCA_002220045.1	GCA_002220045.1	False	Scaffold	current		18619184	898	301376	20	71	48.0			Cryptococcus neoformans	5207	1,131567,2759,33154,4751,451864,5204,5302,155616,5234,1884633,5206,1897064,5207	Basidiomycota	Eukaryota		Fungi	Basidiomycota	Tremellomycetes	Tremellales	Cryptococcaceae	Cryptococcus	Cryptococcus neoformans				2759		4751	5204	155616	5234	1884633	5206	5207				Cryptococcus neoformans serotype A		https://genome.ucsc.edu/h/GCA_002220045.1	https://hgdownload.soe.ucsc.edu/hubs/GCA/002/220/045/GCA_002220045.1/genes/GCA_002220045.1_Cneo_seroA_WM1408.ncbiGene.gtf.gz
A1-35-8	1230081	GCA_002221985.1	GCA_002221985.1	False	Scaffold	current		18819906	557	154753	40	99	48.0			Cryptococcus neoformans	5207	1,131567,2759,33154,4751,451864,5204,5302,155616,5234,1884633,5206,1897064,5207,1230081	Basidiomycota	Eukaryota		Fungi	Basidiomycota	Tremellomycetes	Tremellales	Cryptococcaceae	Cryptococcus	Cryptococcus neoformans	Cryptococcus neoformans A1-35-8			2759		4751	5204	155616	5234	1884633	5206	5207	1230081					https://genome.ucsc.edu/h/GCA_002221985.1	https://hgdownload.soe.ucsc.edu/hubs/GCA/002/221/985/GCA_002221985.1/genes/GCA_002221985.1_Cryp_neof_grubii_A1-35-8_V1.ncbiGene.gtf.gz
RCT54	5207	GCA_002222015.1	GCA_002222015.1	False	Scaffold	current		18606003	494	108421	56	168	48.0			Cryptococcus neoformans	5207	1,131567,2759,33154,4751,451864,5204,5302,155616,5234,1884633,5206,1897064,5207	Basidiomycota	Eukaryota		Fungi	Basidiomycota	Tremellomycetes	Tremellales	Cryptococcaceae	Cryptococcus	Cryptococcus neoformans				2759		4751	5204	155616	5234	1884633	5206	5207				Cryptococcus neoformans serotype A		https://genome.ucsc.edu/h/GCA_002222015.1	https://hgdownload.soe.ucsc.edu/hubs/GCA/002/222/015/GCA_002222015.1/genes/GCA_002222015.1_Cryp_neof_grubii_cng8_V1.ncbiGene.gtf.gz
CM64	5207	GCA_002222025.1	GCA_002222025.1	False	Scaffold	current		18568655	568	109346	54	70	48.0			Cryptococcus neoformans	5207	1,131567,2759,33154,4751,451864,5204,5302,155616,5234,1884633,5206,1897064,5207	Basidiomycota	Eukaryota		Fungi	Basidiomycota	Tremellomycetes	Tremellales	Cryptococcaceae	Cryptococcus	Cryptococcus neoformans				2759		4751	5204	155616	5234	1884633	5206	5207				Cryptococcus neoformans serotype A		https://genome.ucsc.edu/h/GCA_002222025.1	https://hgdownload.soe.ucsc.edu/hubs/GCA/002/222/025/GCA_002222025.1/genes/GCA_002222025.1_Cryp_neof_grubii_cng4_V1.ncbiGene.gtf.gz
RCT6	5207	GCA_002222095.1	GCA_002222095.1	False	Scaffold	current		18602782	588	95937	60	141	48.0			Cryptococcus neoformans	5207	1,131567,2759,33154,4751,451864,5204,5302,155616,5234,1884633,5206,1897064,5207	Basidiomycota	Eukaryota		Fungi	Basidiomycota	Tremellomycetes	Tremellales	Cryptococcaceae	Cryptococcus	Cryptococcus neoformans				2759		4751	5204	155616	5234	1884633	5206	5207				Cryptococcus neoformans serotype A		https://genome.ucsc.edu/h/GCA_002222095.1	https://hgdownload.soe.ucsc.edu/hubs/GCA/002/222/095/GCA_002222095.1/genes/GCA_002222095.1_Cryp_neof_grubii_cng7_V1.ncbiGene.gtf.gz
CM20	5207	GCA_002222115.1	GCA_002222115.1	False	Scaffold	current		18516783	588	92289	61	63	48.0			Cryptococcus neoformans	5207	1,131567,2759,33154,4751,451864,5204,5302,155616,5234,1884633,5206,1897064,5207	Basidiomycota	Eukaryota		Fungi	Basidiomycota	Tremellomycetes	Tremellales	Cryptococcaceae	Cryptococcus	Cryptococcus neoformans				2759		4751	5204	155616	5234	1884633	5206	5207				Cryptococcus neoformans serotype A		https://genome.ucsc.edu/h/GCA_002222115.1	https://hgdownload.soe.ucsc.edu/hubs/GCA/002/222/115/GCA_002222115.1/genes/GCA_002222115.1_Cryp_neof_grubii_cng5_V1.ncbiGene.gtf.gz
CM50	5207	GCA_002222135.1	GCA_002222135.1	False	Scaffold	current		18560305	511	113163	50	179	48.0			Cryptococcus neoformans	5207	1,131567,2759,33154,4751,451864,5204,5302,155616,5234,1884633,5206,1897064,5207	Basidiomycota	Eukaryota		Fungi	Basidiomycota	Tremellomycetes	Tremellales	Cryptococcaceae	Cryptococcus	Cryptococcus neoformans				2759		4751	5204	155616	5234	1884633	5206	5207				Cryptococcus neoformans serotype A		https://genome.ucsc.edu/h/GCA_002222135.1	https://hgdownload.soe.ucsc.edu/hubs/GCA/002/222/135/GCA_002222135.1/genes/GCA_002222135.1_Cryp_neof_grubii_cng1_V1.ncbiGene.gtf.gz
